query_id|model_size|time_seconds|query_results_size|allocation_type
PosLength|1328|0.0300779|123|2
PosLength|1328|0.0310721|123|2
PosLength|1328|0.0309821|123|2
PosLength|1328|0.0314116|123|2
PosLength|1328|0.0294223|123|2
PosLength|1328|0.0302013|123|2
PosLength|1328|0.0308922|123|2
PosLength|1328|0.0310905|123|2
PosLength|1328|0.0311779|123|2
PosLength|1328|0.0308503|123|2
PosLength|1328|0.0290203|123|2
PosLength|1328|0.0403049|123|2
PosLength|1328|0.0410286|123|2
PosLength|1328|0.0407287|123|2
PosLength|1328|0.031281|123|2
PosLength|1328|0.0311246|123|2
PosLength|1328|0.0309645|123|2
PosLength|1328|0.0406329|123|2
PosLength|1328|0.0310696|123|2
PosLength|1328|0.0311623|123|2
PosLength|1328|0.0312304|123|2
PosLength|1328|0.0409135|123|2
PosLength|1328|0.0310889|123|2
PosLength|1328|0.0309402|123|2
PosLength|1328|0.039849|123|2
PosLength|1328|0.0405375|123|2
PosLength|1328|0.0403193|123|2
PosLength|1328|0.0310849|123|2
PosLength|1328|0.0403392|123|2
PosLength|1328|0.031568|123|2
PosLength|3465|0.0294967|305|2
PosLength|3465|0.0292844|305|2
PosLength|3465|0.0293784|305|2
PosLength|3465|0.0292915|305|2
PosLength|3465|0.0402052|305|2
PosLength|3465|0.0319937|305|2
PosLength|3465|0.0313377|305|2
PosLength|3465|0.0312751|305|2
PosLength|3465|0.0312796|305|2
PosLength|3465|0.0408524|305|2
PosLength|3465|0.0313972|305|2
PosLength|3465|0.0310855|305|2
PosLength|3465|0.0311889|305|2
PosLength|3465|0.0403199|305|2
PosLength|3465|0.0314214|305|2
PosLength|3465|0.0312814|305|2
PosLength|3465|0.0312481|305|2
PosLength|3465|0.0314013|305|2
PosLength|3465|0.0312841|305|2
PosLength|3465|0.0319726|305|2
PosLength|3465|0.0317387|305|2
PosLength|3465|0.0319314|305|2
PosLength|3465|0.0402715|305|2
PosLength|3465|0.0316768|305|2
PosLength|3465|0.0317597|305|2
PosLength|3465|0.0320736|305|2
PosLength|3465|0.03205|305|2
PosLength|3465|0.0327619|305|2
PosLength|3465|0.0324398|305|2
PosLength|3465|0.0323034|305|2
PosLength|8107|0.03263|741|2
PosLength|8107|0.0309737|741|2
PosLength|8107|0.0321095|741|2
PosLength|8107|0.0323384|741|2
PosLength|8107|0.0318807|741|2
PosLength|8107|0.032237|741|2
PosLength|8107|0.0319899|741|2
PosLength|8107|0.0300737|741|2
PosLength|8107|0.0312308|741|2
PosLength|8107|0.0304359|741|2
PosLength|8107|0.0306645|741|2
PosLength|8107|0.0320072|741|2
PosLength|8107|0.0319724|741|2
PosLength|8107|0.0325242|741|2
PosLength|8107|0.0305498|741|2
PosLength|8107|0.0397093|741|2
PosLength|8107|0.0309334|741|2
PosLength|8107|0.0319479|741|2
PosLength|8107|0.0311111|741|2
PosLength|8107|0.0322661|741|2
PosLength|8107|0.0322076|741|2
PosLength|8107|0.0320534|741|2
PosLength|8107|0.0322674|741|2
PosLength|8107|0.0318943|741|2
PosLength|8107|0.0408991|741|2
PosLength|8107|0.0407018|741|2
PosLength|8107|0.04263|741|2
PosLength|8107|0.0340148|741|2
PosLength|8107|0.0320081|741|2
PosLength|8107|0.0314646|741|2
PosLength|16234|0.0313393|1468|2
PosLength|16234|0.0305266|1468|2
PosLength|16234|0.0323208|1468|2
PosLength|16234|0.033934|1468|2
PosLength|16234|0.0322377|1468|2
PosLength|16234|0.0317039|1468|2
PosLength|16234|0.032342|1468|2
PosLength|16234|0.0318499|1468|2
PosLength|16234|0.0326087|1468|2
PosLength|16234|0.0321999|1468|2
PosLength|16234|0.0315041|1468|2
PosLength|16234|0.0310837|1468|2
PosLength|16234|0.0323354|1468|2
PosLength|16234|0.0323157|1468|2
PosLength|16234|0.0319646|1468|2
PosLength|16234|0.0318912|1468|2
PosLength|16234|0.0318138|1468|2
PosLength|16234|0.0320102|1468|2
PosLength|16234|0.0323771|1468|2
PosLength|16234|0.0337377|1468|2
PosLength|16234|0.0318405|1468|2
PosLength|16234|0.0323147|1468|2
PosLength|16234|0.0336671|1468|2
PosLength|16234|0.0308744|1468|2
PosLength|16234|0.032034|1468|2
PosLength|16234|0.0316392|1468|2
