query_id|model_size|time_seconds|query_results_size|allocation_type
PosLength|1328|0.0309236|123|5 participants
PosLength|1328|0.0391038|123|5 participants
PosLength|1328|0.0307646|123|5 participants
PosLength|1328|0.0313285|123|5 participants
PosLength|1328|0.0400744|123|5 participants
PosLength|1328|0.0410983|123|5 participants
PosLength|1328|0.0310263|123|5 participants
PosLength|1328|0.0410458|123|5 participants
PosLength|1328|0.0310431|123|5 participants
PosLength|1328|0.0406708|123|5 participants
PosLength|1328|0.0408659|123|5 participants
PosLength|1328|0.0406237|123|5 participants
PosLength|1328|0.0412093|123|5 participants
PosLength|1328|0.0411861|123|5 participants
PosLength|1328|0.0410687|123|5 participants
PosLength|1328|0.0313465|123|5 participants
PosLength|1328|0.0296327|123|5 participants
PosLength|1328|0.0313535|123|5 participants
PosLength|1328|0.0314386|123|5 participants
PosLength|1328|0.0311776|123|5 participants
PosLength|1328|0.030487|123|5 participants
PosLength|1328|0.0312206|123|5 participants
PosLength|1328|0.0312416|123|5 participants
PosLength|1328|0.0408173|123|5 participants
PosLength|1328|0.0308067|123|5 participants
PosLength|1328|0.031254|123|5 participants
PosLength|1328|0.0312845|123|5 participants
PosLength|1328|0.0314617|123|5 participants
PosLength|1328|0.0314938|123|5 participants
PosLength|1328|0.0311025|123|5 participants
PosLength|3465|0.0401913|305|5 participants
PosLength|3465|0.0313149|305|5 participants
PosLength|3465|0.0321495|305|5 participants
PosLength|3465|0.0325071|305|5 participants
PosLength|3465|0.0320322|305|5 participants
PosLength|3465|0.0310567|305|5 participants
PosLength|3465|0.0302322|305|5 participants
PosLength|3465|0.0410716|305|5 participants
PosLength|3465|0.0323322|305|5 participants
PosLength|3465|0.0318295|305|5 participants
PosLength|3465|0.0320207|305|5 participants
PosLength|3465|0.031788|305|5 participants
PosLength|3465|0.0314112|305|5 participants
PosLength|3465|0.0303225|305|5 participants
PosLength|3465|0.0400287|305|5 participants
PosLength|3465|0.0399875|305|5 participants
PosLength|3465|0.0401057|305|5 participants
PosLength|3465|0.0316631|305|5 participants
PosLength|3465|0.0310842|305|5 participants
PosLength|3465|0.0404397|305|5 participants
PosLength|3465|0.0299149|305|5 participants
PosLength|3465|0.0326733|305|5 participants
PosLength|3465|0.032295|305|5 participants
PosLength|3465|0.0411906|305|5 participants
PosLength|3465|0.0401718|305|5 participants
PosLength|3465|0.0410438|305|5 participants
PosLength|3465|0.0401789|305|5 participants
PosLength|3465|0.0404147|305|5 participants
PosLength|3465|0.040873|305|5 participants
PosLength|3465|0.0311167|305|5 participants
PosLength|8107|0.0314495|741|5 participants
PosLength|8107|0.0406676|741|5 participants
PosLength|8107|0.031197|741|5 participants
PosLength|8107|0.0325206|741|5 participants
PosLength|8107|0.0309092|741|5 participants
PosLength|8107|0.029198|741|5 participants
PosLength|8107|0.0302309|741|5 participants
PosLength|8107|0.0315309|741|5 participants
PosLength|8107|0.0322258|741|5 participants
PosLength|8107|0.0420459|741|5 participants
PosLength|8107|0.0406986|741|5 participants
PosLength|8107|0.040394|741|5 participants
PosLength|8107|0.0315332|741|5 participants
PosLength|8107|0.0320763|741|5 participants
PosLength|8107|0.0324322|741|5 participants
PosLength|8107|0.0320186|741|5 participants
