query_id|model_size|time_seconds|query_results_size|allocation_type
Derailment|420000|20.4248|30000|standard
Derailment|84000|5.90069|6000|standard
Derailment|8400|1.24896|600|standard
Derailment|840|0.141085|60|standard
Derailment|84|0.0973282|6|standard
